Apt,Fan,Light,Ac,Fridge,Month,month,fan,light,ac,consumption,monthly consumption,clusterno,,,,,
7,5,9,0,1,Apr,30,3540,2010,1140,5040,2694,3,,,,,
7,5,9,0,1,May,31,3658,2077,1178,5208,2783.8,3,,,,,
7,5,9,0,1,June,30,3540,2010,1140,5040,2694,3,,,,,
7,5,9,0,1,July,31,3658,2077,1178,5208,2783.8,3,,,,,
7,5,9,0,1,Aug,31,3658,2077,1178,5208,2783.8,3,,,,,
7,5,9,0,1,Sept,30,3540,2010,1140,5040,2694,3,,,,,
7,5,9,0,1,Oct,31,3658,2077,1178,5208,2783.8,3,,,,,
7,5,9,0,1,Nov,30,1050,2010,120,5040,2071.5,3,,,,,
7,5,9,0,1,Dec,31,1085,2077,124,5208,2140.55,3,,,,,
8,6,9,2,1,Jan,31,1085,2077,124,5208,3186.8,2,,,,,
8,6,9,2,1,Feb,28,980,1876,112,4704,2878.4,2,,,,,
8,6,9,2,1,Mar,31,1085,2077,124,5208,3186.8,2,,,,,
8,6,9,2,1,Apr,30,3540,2010,1140,5040,11991,2,,,,,
8,6,9,2,1,May,31,3658,2077,1178,5208,12390.7,2,,,,,
8,6,9,2,1,June,30,3540,2010,1140,5040,11991,2,,,,,
8,6,9,2,1,July,31,3658,2077,1178,5208,12390.7,2,,,,,
8,6,9,2,1,Aug,31,3658,2077,1178,5208,12390.7,2,,,,,
8,6,9,2,1,Sept,30,3540,2010,1140,5040,11991,2,,,,,
8,6,9,2,1,Oct,31,3658,2077,1178,5208,12390.7,2,,,,,
8,6,9,2,1,Nov,30,1050,2010,120,5040,3084,2,,,,,
8,6,9,2,1,Dec,31,1085,2077,124,5208,3186.8,2,,,,,
9,5,12,3,1,Jan,31,1085,2077,124,5208,4251.65,2,,,,,
9,5,12,3,1,Feb,28,980,1876,112,4704,3840.2,2,,,,,
9,5,12,3,1,Mar,31,1085,2077,124,5208,4251.65,2,,,,,
9,5,12,3,1,Apr,30,3540,2010,1140,5040,16977,2,,,,,
9,5,12,3,1,May,31,3658,2077,1178,5208,17542.9,2,,,,,
9,5,12,3,1,June,30,3540,2010,1140,5040,16977,2,,,,,
9,5,12,3,1,July,31,3658,2077,1178,5208,17542.9,2,,,,,
9,5,12,3,1,Aug,31,3658,2077,1178,5208,17542.9,2,,,,,
9,5,12,3,1,Sept,30,3540,2010,1140,5040,16977,2,,,,,
9,5,12,3,1,Oct,31,3658,2077,1178,5208,17542.9,2,,,,,
9,5,12,3,1,Nov,30,1050,2010,120,5040,4114.5,2,,,,,
9,5,12,3,1,Dec,31,1085,2077,124,5208,4251.65,2,,,,,
10,5,14,1,1,Jan,31,1085,2077,124,5208,3675.05,1,,,,,
10,5,14,1,1,Feb,28,980,1876,112,4704,3319.4,1,,,,,
10,5,14,1,1,Mar,31,1085,2077,124,5208,3675.05,1,,,,,
10,5,14,1,1,Apr,30,3540,2010,1140,5040,8259,1,,,,,
10,5,14,1,1,May,31,3658,2077,1178,5208,8534.3,1,,,,,
10,5,14,1,1,June,30,3540,2010,1140,5040,8259,1,,,,,
10,5,14,1,1,July,31,3658,2077,1178,5208,8534.3,1,,,,,
10,5,14,1,1,Aug,31,3658,2077,1178,5208,8534.3,1,,,,,
10,5,14,1,1,Sept,30,3540,2010,1140,5040,8259,1,,,,,
10,5,14,1,1,Oct,31,3658,2077,1178,5208,8534.3,1,,,,,
10,5,14,1,1,Nov,30,1050,2010,120,5040,3556.5,1,,,,,
10,5,14,1,1,Dec,31,1085,2077,124,5208,3675.05,1,,,,,
11,5,12,1,1,Jan,31,1085,2077,124,5208,3259.65,1,,,,,
11,5,12,1,1,Feb,28,980,1876,112,4704,2944.2,1,,,,,
11,5,12,1,1,Mar,31,1085,2077,124,5208,3259.65,1,,,,,
11,5,12,1,1,Apr,30,3540,2010,1140,5040,7857,1,,,,,
11,5,12,1,1,May,31,3658,2077,1178,5208,8118.9,1,,,,,
11,5,12,1,1,June,30,3540,2010,1140,5040,7857,1,,,,,
11,5,12,1,1,July,31,3658,2077,1178,5208,8118.9,1,,,,,
11,5,12,1,1,Aug,31,3658,2077,1178,5208,8118.9,1,,,,,
11,5,12,1,1,Sept,30,3540,2010,1140,5040,7857,1,,,,,
11,5,12,1,1,Oct,31,3658,2077,1178,5208,8118.9,1,,,,,
11,5,12,1,1,Nov,30,1050,2010,120,5040,3154.5,1,,,,,
11,5,12,1,1,Dec,31,1085,2077,124,5208,3259.65,1,,,,,
12,5,13,1,1,Jan,31,1085,2077,124,5208,3467.35,1,,,,,
12,5,13,1,1,Feb,28,980,1876,112,4704,3131.8,1,,,,,
12,5,13,1,1,Mar,31,1085,2077,124,5208,3467.35,1,,,,,
12,5,13,1,1,Apr,30,3540,2010,1140,5040,8058,1,,,,,
12,5,13,1,1,May,31,3658,2077,1178,5208,8326.6,1,,,,,
12,5,13,1,1,June,30,3540,2010,1140,5040,8058,1,,,,,
12,5,13,1,1,July,31,3658,2077,1178,5208,8326.6,1,,,,,
12,5,13,1,1,Aug,31,3658,2077,1178,5208,8326.6,1,,,,,
12,5,13,1,1,Sept,30,3540,2010,1140,5040,8058,1,,,,,
12,5,13,1,1,Oct,31,3658,2077,1178,5208,8326.6,1,,,,,
12,5,13,1,1,Nov,30,1050,2010,120,5040,3355.5,1,,,,,
12,5,13,1,1,Dec,31,1085,2077,124,5208,3467.35,1,,,,,
13,5,14,2,1,Jan,31,1085,2077,124,5208,4171.05,2,,,,,
13,5,14,2,1,Feb,28,980,1876,112,4704,3767.4,2,,,,,
13,5,14,2,1,Mar,31,1085,2077,124,5208,4171.05,2,,,,,
13,5,14,2,1,Apr,30,3540,2010,1140,5040,12819,2,,,,,
13,5,14,2,1,May,31,3658,2077,1178,5208,13246.3,2,,,,,
13,5,14,2,1,June,30,3540,2010,1140,5040,12819,2,,,,,
13,5,14,2,1,July,31,3658,2077,1178,5208,13246.3,2,,,,,
13,5,14,2,1,Aug,31,3658,2077,1178,5208,13246.3,2,,,,,
13,5,14,2,1,Sept,30,3540,2010,1140,5040,12819,2,,,,,
13,5,14,2,1,Oct,31,3658,2077,1178,5208,13246.3,2,,,,,
13,5,14,2,1,Nov,30,1050,2010,120,5040,4036.5,2,,,,,
13,5,14,2,1,Dec,31,1085,2077,124,5208,4171.05,2,,,,,
14,5,13,2,1,Jan,31,1085,2077,124,5208,3963.35,2,,,,,
14,5,13,2,1,Feb,28,980,1876,112,4704,3579.8,2,,,,,
14,5,13,2,1,Mar,31,1085,2077,124,5208,3963.35,2,,,,,
14,5,13,2,1,Apr,30,3540,2010,1140,5040,12618,2,,,,,
14,5,13,2,1,May,31,3658,2077,1178,5208,13038.6,2,,,,,
14,5,13,2,1,June,30,3540,2010,1140,5040,12618,2,,,,,
14,5,13,2,1,July,31,3658,2077,1178,5208,13038.6,2,,,,,
14,5,13,2,1,Aug,31,3658,2077,1178,5208,13038.6,2,,,,,
14,5,13,2,1,Sept,30,3540,2010,1140,5040,12618,2,,,,,
14,5,13,2,1,Oct,31,3658,2077,1178,5208,13038.6,2,,,,,
14,5,13,2,1,Nov,30,1050,2010,120,5040,3835.5,2,,,,,
14,5,13,2,1,Dec,31,1085,2077,124,5208,3963.35,2,,,,,
15,5,12,2,1,Jan,31,1085,2077,124,5208,3755.65,2,,,,,
15,5,12,2,1,Feb,28,980,1876,112,4704,3392.2,2,,,,,
15,5,12,2,1,Mar,31,1085,2077,124,5208,3755.65,2,,,,,
15,5,12,2,1,Apr,30,3540,2010,1140,5040,12417,2,,,,,
15,5,12,2,1,May,31,3658,2077,1178,5208,12830.9,2,,,,,
15,5,12,2,1,June,30,3540,2010,1140,5040,12417,2,,,,,
15,5,12,2,1,July,31,3658,2077,1178,5208,12830.9,2,,,,,
15,5,12,2,1,Aug,31,3658,2077,1178,5208,12830.9,2,,,,,
15,5,12,2,1,Sept,30,3540,2010,1140,5040,12417,2,,,,,
15,5,12,2,1,Oct,31,3658,2077,1178,5208,12830.9,2,,,,,
15,5,12,2,1,Nov,30,1050,2010,120,5040,3634.5,2,,,,,
15,5,12,2,1,Dec,31,1085,2077,124,5208,3755.65,2,,,,,
16,5,13,3,1,Jan,31,1085,2077,124,5208,4459.35,2,,,,,
16,5,13,3,1,Feb,28,980,1876,112,4704,4027.8,2,,,,,
16,5,13,3,1,Mar,31,1085,2077,124,5208,4459.35,2,,,,,
16,5,13,3,1,Apr,30,3540,2010,1140,5040,17178,2,,,,,
16,5,13,3,1,May,31,3658,2077,1178,5208,17750.6,2,,,,,
16,5,13,3,1,June,30,3540,2010,1140,5040,17178,2,,,,,
16,5,13,3,1,July,31,3658,2077,1178,5208,17750.6,2,,,,,
16,5,13,3,1,Aug,31,3658,2077,1178,5208,17750.6,2,,,,,
16,5,13,3,1,Sept,30,3540,2010,1140,5040,17178,2,,,,,
16,5,13,3,1,Oct,31,3658,2077,1178,5208,17750.6,2,,,,,
16,5,13,3,1,Nov,30,1050,2010,120,5040,4315.5,2,,,,,
16,5,13,3,1,Dec,31,1085,2077,124,5208,4459.35,2,,,,,
17,5,14,3,1,Jan,31,1085,2077,124,5208,4667.05,2,,,,,
17,5,14,3,1,Feb,28,980,1876,112,4704,4215.4,2,,,,,
17,5,14,3,1,Mar,31,1085,2077,124,5208,4667.05,2,,,,,
17,5,14,3,1,Apr,30,3540,2010,1140,5040,17379,2,,,,,
17,5,14,3,1,May,31,3658,2077,1178,5208,17958.3,2,,,,,
17,5,14,3,1,June,30,3540,2010,1140,5040,17379,2,,,,,
17,5,14,3,1,July,31,3658,2077,1178,5208,17958.3,2,,,,,
17,5,14,3,1,Aug,31,3658,2077,1178,5208,17958.3,2,,,,,
17,5,14,3,1,Sept,30,3540,2010,1140,5040,17379,2,,,,,
17,5,14,3,1,Oct,31,3658,2077,1178,5208,17958.3,2,,,,,
17,5,14,3,1,Nov,30,1050,2010,120,5040,4516.5,2,,,,,
17,5,14,3,1,Dec,31,1085,2077,124,5208,4667.05,2,,,,,
18,6,12,3,1,Jan,31,1085,2077,124,5208,4305.9,2,,,,,
18,6,12,3,1,Feb,28,980,1876,112,4704,3889.2,2,,,,,
18,6,12,3,1,Mar,31,1085,2077,124,5208,4305.9,2,,,,,
18,6,12,3,1,Apr,30,3540,2010,1140,5040,17154,2,,,,,
18,6,12,3,1,May,31,3658,2077,1178,5208,17725.8,2,,,,,
18,6,12,3,1,June,30,3540,2010,1140,5040,17154,2,,,,,
18,6,12,3,1,July,31,3658,2077,1178,5208,17725.8,2,,,,,
18,6,12,3,1,Aug,31,3658,2077,1178,5208,17725.8,2,,,,,
18,6,12,3,1,Sept,30,3540,2010,1140,5040,17154,2,,,,,
18,6,12,3,1,Oct,31,3658,2077,1178,5208,17725.8,2,,,,,
18,6,12,3,1,Nov,30,1050,2010,120,5040,4167,2,,,,,
18,6,12,3,1,Dec,31,1085,2077,124,5208,4305.9,2,,,,,
19,6,14,1,1,Jan,31,1085,2077,124,5208,3729.3,1,,,,,
19,6,14,1,1,Feb,28,980,1876,112,4704,3368.4,1,,,,,
19,6,14,1,1,Mar,31,1085,2077,124,5208,3729.3,1,,,,,
19,6,14,1,1,Apr,30,3540,2010,1140,5040,8436,1,,,,,
19,6,14,1,1,May,31,3658,2077,1178,5208,8717.2,1,,,,,
19,6,14,1,1,June,30,3540,2010,1140,5040,8436,1,,,,,
19,6,14,1,1,July,31,3658,2077,1178,5208,8717.2,1,,,,,
19,6,14,1,1,Aug,31,3658,2077,1178,5208,8717.2,1,,,,,
19,6,14,1,1,Sept,30,3540,2010,1140,5040,8436,1,,,,,
19,6,14,1,1,Oct,31,3658,2077,1178,5208,8717.2,1,,,,,
19,6,14,1,1,Nov,30,1050,2010,120,5040,3609,1,,,,,
19,6,14,1,1,Dec,31,1085,2077,124,5208,3729.3,1,,,,,
20,6,12,1,1,Jan,31,1085,2077,124,5208,3313.9,1,,,,,
20,6,12,1,1,Feb,28,980,1876,112,4704,2993.2,1,,,,,
20,6,12,1,1,Mar,31,1085,2077,124,5208,3313.9,1,,,,,
20,6,12,1,1,Apr,30,3540,2010,1140,5040,8034,1,,,,,
20,6,12,1,1,May,31,3658,2077,1178,5208,8301.8,1,,,,,
20,6,12,1,1,June,30,3540,2010,1140,5040,8034,1,,,,,
20,6,12,1,1,July,31,3658,2077,1178,5208,8301.8,1,,,,,
20,6,12,1,1,Aug,31,3658,2077,1178,5208,8301.8,1,,,,,
20,6,12,1,1,Sept,30,3540,2010,1140,5040,8034,1,,,,,
20,6,12,1,1,Oct,31,3658,2077,1178,5208,8301.8,1,,,,,
20,6,12,1,1,Nov,30,1050,2010,120,5040,3207,1,,,,,
20,6,12,1,1,Dec,31,1085,2077,124,5208,3313.9,1,,,,,
21,6,13,1,1,Jan,31,1085,2077,124,5208,3521.6,1,,,,,
21,6,13,1,1,Feb,28,980,1876,112,4704,3180.8,1,,,,,
21,6,13,1,1,Mar,31,1085,2077,124,5208,3521.6,1,,,,,
21,6,13,1,1,Apr,30,3540,2010,1140,5040,8235,1,,,,,
21,6,13,1,1,May,31,3658,2077,1178,5208,8509.5,1,,,,,
21,6,13,1,1,June,30,3540,2010,1140,5040,8235,1,,,,,
21,6,13,1,1,July,31,3658,2077,1178,5208,8509.5,1,,,,,
21,6,13,1,1,Aug,31,3658,2077,1178,5208,8509.5,1,,,,,
21,6,13,1,1,Sept,30,3540,2010,1140,5040,8235,1,,,,,
21,6,13,1,1,Oct,31,3658,2077,1178,5208,8509.5,1,,,,,
21,6,13,1,1,Nov,30,1050,2010,120,5040,3408,1,,,,,
21,6,13,1,1,Dec,31,1085,2077,124,5208,3521.6,1,,,,,
22,6,14,2,1,Jan,31,1085,2077,124,5208,4225.3,2,,,,,
22,6,14,2,1,Feb,28,980,1876,112,4704,3816.4,2,,,,,
22,6,14,2,1,Mar,31,1085,2077,124,5208,4225.3,2,,,,,
22,6,14,2,1,Apr,30,3540,2010,1140,5040,12996,2,,,,,
22,6,14,2,1,May,31,3658,2077,1178,5208,13429.2,2,,,,,
22,6,14,2,1,June,30,3540,2010,1140,5040,12996,2,,,,,
22,6,14,2,1,July,31,3658,2077,1178,5208,13429.2,2,,,,,
22,6,14,2,1,Aug,31,3658,2077,1178,5208,13429.2,2,,,,,
22,6,14,2,1,Sept,30,3540,2010,1140,5040,12996,2,,,,,
22,6,14,2,1,Oct,31,3658,2077,1178,5208,13429.2,2,,,,,
22,6,14,2,1,Nov,30,1050,2010,120,5040,4089,2,,,,,
22,6,14,2,1,Dec,31,1085,2077,124,5208,4225.3,2,,,,,
23,6,12,2,1,Jan,31,1085,2077,124,5208,3809.9,2,,,,,
23,6,12,2,1,Feb,28,980,1876,112,4704,3441.2,2,,,,,
23,6,12,2,1,Mar,31,1085,2077,124,5208,3809.9,2,,,,,
23,6,12,2,1,Apr,30,3540,2010,1140,5040,12594,2,,,,,
23,6,12,2,1,May,31,3658,2077,1178,5208,13013.8,2,,,,,
23,6,12,2,1,June,30,3540,2010,1140,5040,12594,2,,,,,
23,6,12,2,1,July,31,3658,2077,1178,5208,13013.8,2,,,,,
23,6,12,2,1,Aug,31,3658,2077,1178,5208,13013.8,2,,,,,
23,6,12,2,1,Sept,30,3540,2010,1140,5040,12594,2,,,,,
23,6,12,2,1,Oct,31,3658,2077,1178,5208,13013.8,2,,,,,
23,6,12,2,1,Nov,30,1050,2010,120,5040,3687,2,,,,,
23,6,12,2,1,Dec,31,1085,2077,124,5208,3809.9,2,,,,,
24,6,13,2,1,Jan,31,1085,2077,124,5208,4017.6,2,,,,,
24,6,13,2,1,Feb,28,980,1876,112,4704,3628.8,2,,,,,
24,6,13,2,1,Mar,31,1085,2077,124,5208,4017.6,2,,,,,
24,6,13,2,1,Apr,30,3540,2010,1140,5040,12795,2,,,,,
24,6,13,2,1,May,31,3658,2077,1178,5208,13221.5,2,,,,,
24,6,13,2,1,June,30,3540,2010,1140,5040,12795,2,,,,,
24,6,13,2,1,July,31,3658,2077,1178,5208,13221.5,2,,,,,
24,6,13,2,1,Aug,31,3658,2077,1178,5208,13221.5,2,,,,,
24,6,13,2,1,Sept,30,3540,2010,1140,5040,12795,2,,,,,
24,6,13,2,1,Oct,31,3658,2077,1178,5208,13221.5,2,,,,,
24,6,13,2,1,Nov,30,1050,2010,120,5040,3888,2,,,,,
24,6,13,2,1,Dec,31,1085,2077,124,5208,4017.6,2,,,,,
25,6,12,3,1,Jan,31,1085,2077,124,5208,4305.9,2,,,,,
25,6,12,3,1,Feb,28,980,1876,112,4704,3889.2,2,,,,,
25,6,12,3,1,Mar,31,1085,2077,124,5208,4305.9,2,,,,,
25,6,12,3,1,Apr,30,3540,2010,1140,5040,17154,2,,,,,
25,6,12,3,1,May,31,3658,2077,1178,5208,17725.8,2,,,,,
25,6,12,3,1,June,30,3540,2010,1140,5040,17154,2,,,,,
25,6,12,3,1,July,31,3658,2077,1178,5208,17725.8,2,,,,,
25,6,12,3,1,Aug,31,3658,2077,1178,5208,17725.8,2,,,,,
25,6,12,3,1,Sept,30,3540,2010,1140,5040,17154,2,,,,,
25,6,12,3,1,Oct,31,3658,2077,1178,5208,17725.8,2,,,,,
25,6,12,3,1,Nov,30,1050,2010,120,5040,4167,2,,,,,
25,6,12,3,1,Dec,31,1085,2077,124,5208,4305.9,2,,,,,
26,6,14,3,1,Jan,31,1085,2077,124,5208,4721.3,2,,,,,
26,6,14,3,1,Feb,28,980,1876,112,4704,4264.4,2,,,,,
26,6,14,3,1,Mar,31,1085,2077,124,5208,4721.3,2,,,,,
26,6,14,3,1,Apr,30,3540,2010,1140,5040,17556,2,,,,,
26,6,14,3,1,May,31,3658,2077,1178,5208,18141.2,2,,,,,
26,6,14,3,1,June,30,3540,2010,1140,5040,17556,2,,,,,
26,6,14,3,1,July,31,3658,2077,1178,5208,18141.2,2,,,,,
26,6,14,3,1,Aug,31,3658,2077,1178,5208,18141.2,2,,,,,
26,6,14,3,1,Sept,30,3540,2010,1140,5040,17556,2,,,,,
26,6,14,3,1,Oct,31,3658,2077,1178,5208,18141.2,2,,,,,
26,6,14,3,1,Nov,30,1050,2010,120,5040,4569,2,,,,,
26,6,14,3,1,Dec,31,1085,2077,124,5208,4721.3,2,,,,,
27,6,13,3,1,Jan,31,1085,2077,124,5208,4513.6,2,,,,,
27,6,13,3,1,Feb,28,980,1876,112,4704,4076.8,2,,,,,
27,6,13,3,1,Mar,31,1085,2077,124,5208,4513.6,2,,,,,
27,6,13,3,1,Apr,30,3540,2010,1140,5040,17355,2,,,,,
27,6,13,3,1,May,31,3658,2077,1178,5208,17933.5,2,,,,,
27,6,13,3,1,June,30,3540,2010,1140,5040,17355,2,,,,,
27,6,13,3,1,July,31,3658,2077,1178,5208,17933.5,2,,,,,
27,6,13,3,1,Aug,31,3658,2077,1178,5208,17933.5,2,,,,,
27,6,13,3,1,Sept,30,3540,2010,1140,5040,17355,2,,,,,
27,6,13,3,1,Oct,31,3658,2077,1178,5208,17933.5,2,,,,,
27,6,13,3,1,Nov,30,1050,2010,120,5040,4368,2,,,,,
27,6,13,3,1,Dec,31,1085,2077,124,5208,4513.6,2,,,,,
28,6,9,2,1,Jan,31,1085,2077,124,5208,3186.8,2,,,,,
28,6,9,2,1,Feb,28,980,1876,112,4704,2878.4,2,,,,,
28,6,9,2,1,Mar,31,1085,2077,124,5208,3186.8,2,,,,,
28,6,9,2,1,Apr,30,3540,2010,1140,5040,11991,2,,,,,
28,6,9,2,1,May,31,3658,2077,1178,5208,12390.7,2,,,,,
28,6,9,2,1,June,30,3540,2010,1140,5040,11991,2,,,,,
28,6,9,2,1,July,31,3658,2077,1178,5208,12390.7,2,,,,,
28,6,9,2,1,Aug,31,3658,2077,1178,5208,12390.7,2,,,,,
28,6,9,2,1,Sept,30,3540,2010,1140,5040,11991,2,,,,,
28,6,9,2,1,Oct,31,3658,2077,1178,5208,12390.7,2,,,,,
28,6,9,2,1,Nov,30,1050,2010,120,5040,3084,2,,,,,
28,6,9,2,1,Dec,31,1085,2077,124,5208,3186.8,2,,,,,
29,6,10,2,1,Jan,31,1085,2077,124,5208,3394.5,2,,,,,
29,6,10,2,1,Feb,28,980,1876,112,4704,3066,2,,,,,
29,6,10,2,1,Mar,31,1085,2077,124,5208,3394.5,2,,,,,
29,6,10,2,1,Apr,30,3540,2010,1140,5040,12192,2,,,,,
29,6,10,2,1,May,31,3658,2077,1178,5208,12598.4,2,,,,,
29,6,10,2,1,June,30,3540,2010,1140,5040,12192,2,,,,,
29,6,10,2,1,July,31,3658,2077,1178,5208,12598.4,2,,,,,
29,6,10,2,1,Aug,31,3658,2077,1178,5208,12598.4,2,,,,,
29,6,10,2,1,Sept,30,3540,2010,1140,5040,12192,2,,,,,
29,6,10,2,1,Oct,31,3658,2077,1178,5208,12598.4,2,,,,,
29,6,10,2,1,Nov,30,1050,2010,120,5040,3285,2,,,,,
29,6,10,2,1,Dec,31,1085,2077,124,5208,3394.5,2,,,,,
30,6,8,2,1,Jan,31,1085,2077,124,5208,2979.1,2,,,,,
30,6,8,2,1,Feb,28,980,1876,112,4704,2690.8,2,,,,,
30,6,8,2,1,Mar,31,1085,2077,124,5208,2979.1,2,,,,,
30,6,8,2,1,Apr,30,3540,2010,1140,5040,11790,2,,,,,
30,6,8,2,1,May,31,3658,2077,1178,5208,12183,2,,,,,
30,6,8,2,1,June,30,3540,2010,1140,5040,11790,2,,,,,
30,6,8,2,1,July,31,3658,2077,1178,5208,12183,2,,,,,
30,6,8,2,1,Aug,31,3658,2077,1178,5208,12183,2,,,,,
30,6,8,2,1,Sept,30,3540,2010,1140,5040,11790,2,,,,,
30,6,8,2,1,Oct,31,3658,2077,1178,5208,12183,2,,,,,
30,6,8,2,1,Nov,30,1050,2010,120,5040,2883,2,,,,,
